INFO_DTESTR,MONEY
2012-08-22,626
2012-08-15,626
2012-08-08,626
2012-08-01,626
2012-07-25,631
2012-07-18,641
2012-07-11,652
2012-07-04,676
2012-06-27,702
2012-06-20,729
2012-06-13,752
2012-06-06,768
2012-05-30,774
2012-05-23,781
2012-05-16,784
2012-05-09,786
2012-05-03,787
2012-04-25,787
2012-04-18,785
2012-04-11,782
2012-03-28,777
2012-03-21,775
2012-03-14,773
2012-03-07,772
2012-02-29,773
2012-02-22,775
2012-02-15,777
2012-02-08,779
2012-02-01,782
2012-01-18,787
2012-01-11,792
2012-01-05,797
2011-12-28,808
2011-12-21,821
2011-12-14,830
2011-12-07,840
2011-11-30,847
2011-11-23,850
2011-11-16,852
2011-11-09,853
2011-11-02,853
2011-10-26,853
2011-10-19,847
2011-10-12,842
2011-09-28,832
2011-09-21,829
2011-09-14,829
2011-09-07,826
2011-08-31,825
2011-08-24,826
2011-08-17,828
2011-08-10,829
2011-08-03,831
2011-07-27,835
2011-07-20,837
2011-07-13,840
2011-07-06,842
2011-06-29,843
2011-06-22,843
2011-06-15,841
2011-06-08,839
2011-06-01,837
2011-05-25,832
2011-05-18,827
2011-05-11,820
2011-05-04,818
2011-04-27,808
2011-04-20,799
2011-04-13,784
2011-04-07,
2011-03-30,
2011-03-23,770
2011-03-16,767
2011-03-09,767
2011-03-02,769
2011-02-23,769
2011-02-16,769
2011-02-02,774
2011-01-26,774
2011-01-19,773
2011-01-12,776
2011-01-05,779
2010-12-29,782
2010-12-22,784
2010-12-15,789
2010-12-08,795
2010-12-01,794
2010-11-24,796
2010-11-17,790
2010-11-10,70
2010-11-03,53
2010-10-27,37
2010-10-20,735
2010-10-13,725
2010-09-29,715
2010-09-17,713
2010-09-11,714
2010-09-10,718
